(Mar 23 2022 22:41:42,  859112 sec) Rx()                 Packet timeout - retrying.
(Mar 23 2022 22:41:53,  859123 sec) Rx()                 Packet timeout - retrying.
(Mar 23 2022 22:41:53,  859123 sec) Rx()                 Attempt to read packet 2 failed.  Transfer aborted.
(Mar 23 2022 22:42:04,  859134 sec) RxConfig()           Download failed.
(Mar 23 2022 22:42:17,  859147 sec) RxConfig()           Downloading "mission.cfg" from host.
(Mar 23 2022 22:42:19,  859149 sec) Rx()                 Initiating transfer. [0x43]
(Mar 23 2022 22:42:31,  859161 sec) RxStartByte()        Sync errors encountered: 1
(Mar 23 2022 22:42:31,  859161 sec) Rx()                 Re-initiating transfer. [0x43]
(Mar 23 2022 22:42:43,  859173 sec) RxStartByte()        Sync errors encountered: 1
(Mar 23 2022 22:42:43,  859173 sec) Rx()                 Re-initiating transfer. [0x43]
(Mar 23 2022 22:42:55,  859185 sec) RxStartByte()        Sync errors encountered: 1
(Mar 23 2022 22:42:55,  859185 sec) Rx()                 Re-initiating transfer. [0x43]
(Mar 23 2022 22:43:07,  859197 sec) RxStartByte()        Sync errors encountered: 1
(Mar 23 2022 22:43:07,  859197 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Mar 23 2022 22:43:07,  859197 sec) Rx()                 Re-initiating transfer. [0x15]
(Mar 23 2022 22:43:19,  859209 sec) RxStartByte()        Sync errors encountered: 12
(Mar 23 2022 22:43:19,  859209 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Mar 23 2022 22:43:19,  859209 sec) Rx()                 Re-initiating transfer. [0x15]
(Mar 23 2022 22:43:30,  859220 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Mar 23 2022 22:43:30,  859220 sec) Rx()                 Re-initiating transfer. [0x15]
(Mar 23 2022 22:43:41,  859231 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Mar 23 2022 22:43:41,  859231 sec) Rx()                 Re-initiating transfer. [0x15]
(Mar 23 2022 22:43:52,  859242 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Mar 23 2022 22:43:52,  859242 sec) Rx()                 Re-initiating transfer. [0x15]
(Mar 23 2022 22:44:03,  859253 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Mar 23 2022 22:44:03,  859253 sec) Rx()                 Re-initiating transfer. [0x15]
(Mar 23 2022 22:44:14,  859264 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Mar 23 2022 22:44:14,  859264 sec) Rx()                 Re-initiating transfer. [0x15]
(Mar 23 2022 22:44:14,  859264 sec) Rx()                 Attempt to read packet 1 failed.  Transfer aborted.
(Mar 23 2022 22:44:25,  859275 sec) RxConfig()           Download failed.
(Mar 23 2022 22:44:26,  859276 sec) DownLoadMissionCfg(  Keeping previous version of "mission.cfg".
(Mar 23 2022 22:44:26,  859276 sec) WriteVitals()        Writing vitals to "7827.238.msg".
(Mar 23 2022 22:44:42,  859292 sec) UpLoadFile()         Uploading "7827.238.msg" to host as "7827.238.msg".
(Mar 23 2022 22:45:42,  859352 sec) Tx()                 CRC negotiation failed - aborting transfer.
(Mar 23 2022 22:45:53,  859363 sec) UpLoadFile()         Upload failed.
(Mar 23 2022 22:46:03,  859373 sec) UpLoadFile()         Uploading "7827.238.log" to host as "7827.238.log".
(Mar 23 2022 22:47:03,  859433 sec) Tx()                 CRC negotiation failed - aborting transfer.
(Mar 23 2022 22:47:14,  859444 sec) UpLoadFile()         Upload failed.
(Mar 23 2022 22:47:14,  859444 sec) UpLoad()             Files successfully uploaded: 0
(Mar 23 2022 22:47:14,  859444 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(Mar 23 2022 22:47:21,  859451 sec) chat()               Expected string [logout] not received.
(Mar 23 2022 22:47:21,  859451 sec) logout()             Attempt to log-out failed.
(Mar 23 2022 22:47:21,  859451 sec) logout()             No carrier detected.
(Mar 23 2022 22:47:21,  859451 sec) Telemetry()          Telemetry cycle complete: PrfId=238 ConnectionAttempts=21  Connections=10
(Mar 23 2022 23:02:36,  860366 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [125cnt, 6.2"Hg].
(Mar 23 2022 23:03:30,  860420 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: -0.6dbars / 250.3uM 22.966C 30.213 8.863 177.817 / 80,186,536
(Mar 23 2022 23:03:38,  860428 sec) GpsServices()        GPS almanac is current.
(Mar 23 2022 23:03:38,  860428 sec) GpsServices()        Initiating GPS fix acquisition.
(Mar 23 2022 23:04:35,  860485 sec) gga()                $GPGGA,230350,1823.8627,N,05936.0024,E,1,09,0.9,-0.2,M,-47.3,M,,*4B
(Mar 23 2022 23:04:35,  860486 sec) GpsServices()        Profile 238 GPS fix obtained in 57 seconds.
(Mar 23 2022 23:04:36,  860486 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Mar 23 2022 23:04:36,  860486 sec) GpsServices()        Fix:   59.600  18.398 03/23/2022 230350    9
(Mar 23 2022 23:05:24,  860534 sec) gga()                $GPGGA,230440,1823.8539,N,05935.9999,E,1,10,0.8,5.0,M,-47.3,M,,*67
(Mar 23 2022 23:05:32,  860542 sec) gga()                $GPGGA,230530,1823.8444,N,05935.9961,E,1,10,0.8,5.1,M,-47.3,M,,*6C
(Mar 23 2022 23:05:32,  860542 sec) GpsServices()        APF9 RTC skew (2s) OK.
(Mar 23 2022 23:05:32,  860542 sec) GpsServices()        GPS services complete.
(Mar 23 2022 23:06:06,  860576 sec) CLogin()             Connecting to primary host.
(Mar 23 2022 23:06:21,  860592 sec) CLogin()             Connection 11 established in 15 seconds.
(Mar 23 2022 23:06:53,  860623 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Mar 23 2022 23:06:53,  860623 sec) login()              Login failed.
(Mar 23 2022 23:07:23,  860653 sec) expect()             Attempt to read prompt string [login:] failed.
(Mar 23 2022 23:07:23,  860653 sec) login()              Login prompt not received.
(Mar 23 2022 23:07:38,  860668 sec) CLogin()             Connection 12 established in 92 seconds.
(Mar 23 2022 23:08:11,  860701 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Mar 23 2022 23:08:11,  860701 sec) login()              Login failed.
(Mar 23 2022 23:08:41,  860731 sec) expect()             Attempt to read prompt string [login:] failed.
(Mar 23 2022 23:08:41,  860731 sec) login()              Login prompt not received.
(Mar 23 2022 23:08:41,  860731 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Mar 23 2022 23:09:42,  860792 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 23:09:42,  860792 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Mar 23 2022 23:09:42,  860792 sec) connect()            Connection attempt failed.
(Mar 23 2022 23:10:43,  860853 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 23:10:43,  860853 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Mar 23 2022 23:10:43,  860853 sec) connect()            Connection attempt failed.
(Mar 23 2022 23:10:43,  860853 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Mar 23 2022 23:10:44,  860854 sec) DownLoadMissionCfg(  Connect/login failed.  Mission configuration not downloaded from remote host.
(Mar 23 2022 23:10:50,  860860 sec) CLogin()             Connecting to primary host.
(Mar 23 2022 23:11:51,  860921 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 23:11:51,  860921 sec) modem_connect()      Modem command [AT+CBST=71,0,1;DT0088160000573] failed.
(Mar 23 2022 23:11:51,  860921 sec) connect()            Connection attempt failed.
(Mar 23 2022 23:12:06,  860936 sec) CLogin()             Connection 13 established in 77 seconds.
(Mar 23 2022 23:12:38,  860968 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Mar 23 2022 23:12:38,  860968 sec) login()              Login failed.
(Mar 23 2022 23:13:37,  861027 sec) expect()             Attempt to read prompt string [Password:] failed.
(Mar 23 2022 23:13:37,  861027 sec) login()              Password prompt not received.
(Mar 23 2022 23:13:37,  861027 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Mar 23 2022 23:14:38,  861088 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 23:14:38,  861088 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Mar 23 2022 23:14:38,  861088 sec) connect()            Connection attempt failed.
(Mar 23 2022 23:15:39,  861149 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 23:15:39,  861149 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Mar 23 2022 23:15:39,  861149 sec) connect()            Connection attempt failed.
(Mar 23 2022 23:15:39,  861149 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Mar 23 2022 23:15:40,  861150 sec) DownLoadMissionCfg(  Connect/login failed.  Mission configuration not downloaded from remote host.
(Mar 23 2022 23:15:40,  861150 sec) DownLoadMissionCfg(  Aborting download: Retry limit [2] exceeded.
(Mar 23 2022 23:15:40,  861150 sec) WriteVitals()        Writing vitals to "7827.238.msg".
(Mar 23 2022 23:15:47,  861158 sec) CLogin()             Connecting to primary host.
(Mar 23 2022 23:16:01,  861172 sec) CLogin()             Connection 14 established in 14 seconds.
