(Jan 24 2018 18:50:32,   87168 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 18:50:32,   87169 sec) login()              Login prompt not received.
(Jan 24 2018 18:50:32,   87169 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Jan 24 2018 18:51:28,   87225 sec) CLogin()             Connection 11 established in 207 seconds.
(Jan 24 2018 18:51:58,   87254 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 18:51:58,   87255 sec) login()              Login prompt not received.
(Jan 24 2018 18:52:28,   87284 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 18:52:28,   87285 sec) login()              Login prompt not received.
(Jan 24 2018 18:53:06,   87322 sec) CLogin()             Connection 12 established in 305 seconds.
(Jan 24 2018 18:53:36,   87352 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 18:53:36,   87353 sec) login()              Login prompt not received.
(Jan 24 2018 18:54:06,   87382 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 18:54:06,   87383 sec) login()              Login prompt not received.
(Jan 24 2018 18:54:06,   87383 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Jan 24 2018 18:54:06,   87383 sec) UpLoad()             Files successfully uploaded: 0
(Jan 24 2018 18:54:07,   87383 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(Jan 24 2018 18:54:07,   87384 sec) logout()             No carrier detected.
(Jan 24 2018 18:54:07,   87384 sec) Telemetry()          Telemetry cycle complete: PrfId=54 ConnectionAttempts=16  Connections=12
(Jan 24 2018 19:09:22,   88298 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [126cnt, 6.5"Hg].
(Jan 24 2018 19:09:59,   88336 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: -0.4dbars / 252.4uM 22.988C 30.109 8.895 177.079 / 200,172,538
(Jan 24 2018 19:10:03,   88340 sec) GpsServices()        GPS almanac is current.
(Jan 24 2018 19:10:03,   88340 sec) GpsServices()        Initiating GPS fix acquisition.
(Jan 24 2018 19:10:57,   88393 sec) gga()                $GPGGA,191000,1544.5186,N,06426.4948,E,6,10,0.8,4.5,M,-62.7,M,,*63
(Jan 24 2018 19:11:40,   88436 sec) gga()                $GPGGA,191010,1544.5167,N,06426.4956,E,1,09,0.8,2.2,M,-62.7,M,,*6C
(Jan 24 2018 19:11:40,   88437 sec) GpsServices()        Profile 54 GPS fix obtained in 97 seconds.
(Jan 24 2018 19:11:40,   88437 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Jan 24 2018 19:11:40,   88437 sec) GpsServices()        Fix:   64.442  15.742 01/24/2018 191010    9
(Jan 24 2018 19:12:26,   88483 sec) gga()                $GPGGA,191130,1544.5057,N,06426.5031,E,1,10,0.8,-1.6,M,-62.7,M,,*46
(Jan 24 2018 19:12:34,   88491 sec) gga()                $GPGGA,191220,1544.4985,N,06426.5077,E,1,10,0.8,-3.4,M,-62.7,M,,*41
(Jan 24 2018 19:12:34,   88491 sec) GpsServices()        APF9 RTC skew (14s) OK.
(Jan 24 2018 19:12:35,   88491 sec) GpsServices()        GPS services complete.
(Jan 24 2018 19:13:00,   88517 sec) CLogin()             Connecting to primary host.
(Jan 24 2018 19:13:20,   88537 sec) CLogin()             Connection 13 established in 20 seconds.
(Jan 24 2018 19:13:50,   88566 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:13:50,   88567 sec) login()              Login prompt not received.
(Jan 24 2018 19:13:50,   88567 sec) login()              No carrier detected.
(Jan 24 2018 19:13:59,   88576 sec) CLogin()             Connection 14 established in 59 seconds.
(Jan 24 2018 19:14:30,   88606 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:14:30,   88607 sec) login()              Login prompt not received.
(Jan 24 2018 19:15:00,   88636 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:15:00,   88637 sec) login()              Login prompt not received.
(Jan 24 2018 19:15:00,   88637 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Jan 24 2018 19:16:01,   88697 sec) chat()               Expected string [CONNECT] not received.
(Jan 24 2018 19:16:01,   88698 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Jan 24 2018 19:16:01,   88698 sec) connect()            Connection attempt failed.
(Jan 24 2018 19:17:02,   88758 sec) chat()               Expected string [CONNECT] not received.
(Jan 24 2018 19:17:02,   88759 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Jan 24 2018 19:17:02,   88759 sec) connect()            Connection attempt failed.
(Jan 24 2018 19:17:02,   88759 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Jan 24 2018 19:17:03,   88759 sec) DownLoadMissionCfg(  Connect/login failed.  Mission configuration not downloaded from remote host.
(Jan 24 2018 19:17:09,   88766 sec) CLogin()             Connecting to primary host.
(Jan 24 2018 19:17:19,   88776 sec) CLogin()             Connection 15 established in 11 seconds.
(Jan 24 2018 19:17:49,   88805 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:17:49,   88806 sec) login()              Login prompt not received.
(Jan 24 2018 19:18:19,   88835 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:18:19,   88836 sec) login()              Login prompt not received.
(Jan 24 2018 19:18:34,   88851 sec) CLogin()             Connection 16 established in 86 seconds.
(Jan 24 2018 19:19:04,   88880 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:19:04,   88881 sec) login()              Login prompt not received.
(Jan 24 2018 19:19:34,   88910 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:19:34,   88911 sec) login()              Login prompt not received.
(Jan 24 2018 19:19:34,   88911 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Jan 24 2018 19:20:35,   88971 sec) chat()               Expected string [CONNECT] not received.
(Jan 24 2018 19:20:35,   88972 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Jan 24 2018 19:20:35,   88972 sec) connect()            Connection attempt failed.
(Jan 24 2018 19:21:36,   89032 sec) chat()               Expected string [CONNECT] not received.
(Jan 24 2018 19:21:36,   89033 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Jan 24 2018 19:21:36,   89033 sec) connect()            Connection attempt failed.
(Jan 24 2018 19:21:36,   89033 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Jan 24 2018 19:21:37,   89033 sec) DownLoadMissionCfg(  Connect/login failed.  Mission configuration not downloaded from remote host.
(Jan 24 2018 19:21:37,   89034 sec) DownLoadMissionCfg(  Aborting download: Retry limit [2] exceeded.
(Jan 24 2018 19:21:37,   89034 sec) WriteVitals()        Writing vitals to "7827.054.msg".
(Jan 24 2018 19:21:40,   89037 sec) CLogin()             Connecting to primary host.
(Jan 24 2018 19:21:50,   89047 sec) CLogin()             Connection 17 established in 10 seconds.
(Jan 24 2018 19:22:20,   89076 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:22:20,   89077 sec) login()              Login prompt not received.
(Jan 24 2018 19:22:50,   89106 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:22:50,   89107 sec) login()              Login prompt not received.
(Jan 24 2018 19:23:04,   89121 sec) CLogin()             Connection 18 established in 84 seconds.
(Jan 24 2018 19:23:34,   89150 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:23:34,   89151 sec) login()              Login prompt not received.
(Jan 24 2018 19:24:04,   89180 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:24:04,   89181 sec) login()              Login prompt not received.
(Jan 24 2018 19:24:04,   89181 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Jan 24 2018 19:24:54,   89231 sec) CLogin()             Connection 19 established in 194 seconds.
(Jan 24 2018 19:25:25,   89261 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:25:25,   89262 sec) login()              Login prompt not received.
(Jan 24 2018 19:25:55,   89291 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:25:55,   89292 sec) login()              Login prompt not received.
(Jan 24 2018 19:26:14,   89311 sec) CLogin()             Connection 20 established in 274 seconds.
