(Jul 11 2020 23:39:47,  868234 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 11 2020 23:39:47,  868235 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:39:58,  868245 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 11 2020 23:39:58,  868246 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:40:09,  868256 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 11 2020 23:40:09,  868257 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:40:20,  868267 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 11 2020 23:40:20,  868268 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:40:31,  868278 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 11 2020 23:40:31,  868279 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:40:42,  868289 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 11 2020 23:40:42,  868290 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:40:42,  868290 sec) Rx()                 Attempt to read packet 1 failed.  Transfer aborted.
(Jul 11 2020 23:40:53,  868301 sec) RxConfig()           Download failed.
(Jul 11 2020 23:40:54,  868302 sec) DownLoadMissionCfg(  Keeping previous version of "mission.cfg".
(Jul 11 2020 23:40:54,  868302 sec) WriteVitals()        Writing vitals to "7827.176.msg".
(Jul 11 2020 23:41:10,  868318 sec) UpLoadFile()         Uploading "7827.176.msg" to host as "7827.176.msg".
(Jul 11 2020 23:42:10,  868377 sec) Tx()                 CRC negotiation failed - aborting transfer.
(Jul 11 2020 23:42:21,  868389 sec) UpLoadFile()         Upload failed.
(Jul 11 2020 23:42:31,  868398 sec) UpLoadFile()         Uploading "7827.176.log" to host as "7827.176.log".
(Jul 11 2020 23:43:31,  868458 sec) Tx()                 CRC negotiation failed - aborting transfer.
(Jul 11 2020 23:43:42,  868470 sec) UpLoadFile()         Upload failed.
(Jul 11 2020 23:43:42,  868470 sec) UpLoad()             Files successfully uploaded: 0
(Jul 11 2020 23:43:42,  868470 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(Jul 11 2020 23:43:47,  868474 sec) chat()               Expected string [cmd>] not received.
(Jul 11 2020 23:43:47,  868475 sec) logout()             Can't get command prompt.
(Jul 11 2020 23:43:52,  868479 sec) chat()               Expected string [logout] not received.
(Jul 11 2020 23:43:52,  868480 sec) logout()             Attempt to log-out failed.
(Jul 11 2020 23:43:52,  868480 sec) logout()             No carrier detected.
(Jul 11 2020 23:43:52,  868480 sec) Telemetry()          Telemetry cycle complete: PrfId=176 ConnectionAttempts=1  Connections=1
(Jul 11 2020 23:59:10,  869398 sec) AirSystem()          Battery [191cnt, 14.8V]  Current [75cnt, 302.2mA]  Barometer [128cnt, 7.1"Hg]  Run-Time [3s]
(Jul 12 2020 00:00:04,  869451 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: -0.6dbars / 224.8uM 28.244C 29.368 8.913 7.549 / 64,145,532
(Jul 12 2020 00:00:12,  869460 sec) GpsServices()        GPS almanac is current.
(Jul 12 2020 00:00:12,  869460 sec) GpsServices()        Initiating GPS fix acquisition.
(Jul 12 2020 00:01:02,  869510 sec) gga()                $GPGGA,235951,1838.2557,N,06851.8914,E,6,09,0.9,3.4,M,-65.1,M,,*6D
