(Apr 09 2018 09:40:51,  848500 sec) GpsServices()        GPS services complete.
(Apr 09 2018 09:41:15,  848524 sec) CLogin()             Connecting to primary host.
(Apr 09 2018 09:41:25,  848534 sec) CLogin()             Connection 5 established in 10 seconds.
(Apr 09 2018 09:41:55,  848564 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 09:41:55,  848564 sec) login()              Login prompt not received.
(Apr 09 2018 09:42:25,  848594 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 09:42:25,  848594 sec) login()              Login prompt not received.
(Apr 09 2018 09:42:25,  848594 sec) login()              No carrier detected.
(Apr 09 2018 09:42:25,  848594 sec) CLogin()             Attempt to login to host failed.
(Apr 09 2018 09:42:25,  848594 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Apr 09 2018 09:42:30,  848599 sec) CLogin()             Connecting to primary host.
(Apr 09 2018 09:42:41,  848610 sec) CLogin()             Connection 6 established in 11 seconds.
(Apr 09 2018 09:43:11,  848640 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 09:43:11,  848640 sec) login()              Login prompt not received.
(Apr 09 2018 09:43:41,  848670 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 09:43:41,  848670 sec) login()              Login prompt not received.
(Apr 09 2018 09:43:41,  848670 sec) login()              No carrier detected.
(Apr 09 2018 09:43:41,  848670 sec) CLogin()             Attempt to login to host failed.
(Apr 09 2018 09:43:41,  848670 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Apr 09 2018 09:43:41,  848670 sec) DownLoadMissionCfg() Aborting download: Retry limit [2] exceeded.
(Apr 09 2018 09:43:41,  848670 sec) WriteVitals()        Writing vitals to "9567.126.msg".
(Apr 09 2018 09:43:44,  848673 sec) CLogin()             Connecting to primary host.
(Apr 09 2018 09:43:58,  848687 sec) CLogin()             Connection 7 established in 14 seconds.
(Apr 09 2018 09:44:28,  848717 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 09:44:28,  848717 sec) login()              Login prompt not received.
(Apr 09 2018 09:44:58,  848747 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 09:44:58,  848747 sec) login()              Login prompt not received.
(Apr 09 2018 09:44:58,  848747 sec) login()              No carrier detected.
(Apr 09 2018 09:44:58,  848747 sec) CLogin()             Attempt to login to host failed.
(Apr 09 2018 09:44:58,  848747 sec) CLogin()             Connecting to primary host.
(Apr 09 2018 09:45:07,  848756 sec) CLogin()             Connection 8 established in 9 seconds.
(Apr 09 2018 09:45:38,  848787 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 09:45:38,  848787 sec) login()              Login prompt not received.
(Apr 09 2018 09:46:08,  848817 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 09:46:08,  848817 sec) login()              Login prompt not received.
(Apr 09 2018 09:46:08,  848817 sec) login()              No carrier detected.
(Apr 09 2018 09:46:08,  848817 sec) CLogin()             Attempt to login to host failed.
(Apr 09 2018 09:46:08,  848817 sec) UpLoad()             Files successfully uploaded: 0
(Apr 09 2018 09:46:08,  848817 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(Apr 09 2018 09:46:08,  848817 sec) logout()             No carrier detected.
(Apr 09 2018 09:46:08,  848817 sec) Telemetry()          Telemetry cycle complete: PrfId=126 ConnectionAttempts=8  Connections=8
(Apr 09 2018 10:01:23,  849732 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [126cnt, 6.5"Hg].
(Apr 09 2018 10:01:51,  849760 sec) GpsServices()        GPS almanac is current.
(Apr 09 2018 10:01:51,  849760 sec) GpsServices()        Initiating GPS fix acquisition.
(Apr 09 2018 10:02:24,  849793 sec) gga()                $GPGGA,100130,1350.8405,N,08437.9564,E,1,11,0.8,-5.7,M,-80.1,M,,*4A
(Apr 09 2018 10:02:24,  849793 sec) GpsServices()        Profile 126 GPS fix obtained in 33 seconds.
(Apr 09 2018 10:02:24,  849793 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Apr 09 2018 10:02:24,  849793 sec) GpsServices()        Fix:   84.633  13.847 04/09/2018 100130   11
(Apr 09 2018 10:02:54,  849823 sec) gga()                $GPGGA,100200,1350.8334,N,08437.9669,E,1,10,0.8,-6.1,M,-80.1,M,,*45
(Apr 09 2018 10:02:59,  849828 sec) gga()                $GPGGA,100230,1350.8259,N,08437.9756,E,1,10,0.8,-6.5,M,-80.1,M,,*45
(Apr 09 2018 10:02:59,  849828 sec) GpsServices()        APF9 RTC skew (29s) OK.
(Apr 09 2018 10:03:00,  849829 sec) LogNmeaSentences()   ,041,44,13,18,298,41,17,54,281,49,19,39,254,45*79
(Apr 09 2018 10:03:00,  849829 sec) LogNmeaSentences()   $GPGSV,3,3,12,22,01,090,25,28,37,358,44,30,81,035,48,09,15,175,00*7B
(Apr 09 2018 10:03:09,  849838 sec) LogNmeaSentences()   $GPRMC,100240,A,1350.8243,N,08437.9784,E,001.1,135.1,090418,001.4,W*64
(Apr 09 2018 10:03:10,  849839 sec) LogNmeaSentences()   $GPGGA,100240,1350.8243,N,08437.9784,E,1,10,0.8,-5.1,M,-80.1,M,,*41
(Apr 09 2018 10:03:10,  849839 sec) LogNmeaSentences()   $GPGSA,A,3,01,03,06,07,11,13,17,19,,28,30,,1.1,0.8,0.8*34
(Apr 09 2018 10:03:10,  849839 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,36,056,46,03,06,112,34,06,23,196,40,07,62,128,48*74
(Apr 09 2018 10:03:11,  849840 sec) LogNmeaSentences()   $GPGSV,3,2,12,11,29,041,43,13,18,298,41,17,54,281,49,19,39,254,46*7D
(Apr 09 2018 10:03:11,  849840 sec) LogNmeaSentences()   $GPGSV,3,3,12,22,01,090,25,28,37,358,45,30,81,035,51,09,15,175,00*72
(Apr 09 2018 10:03:19,  849848 sec) LogNmeaSentences()   $GPRMC,100250,A,1350.8213,N,08437.9822,E,001.1,177.8,090418,001.4,W*6C
(Apr 09 2018 10:03:20,  849849 sec) LogNmeaSentences()   $GPGGA,100250,1350.8213,N,08437.9822,E,1,10,0.8,-5.9,M,-80.1,M,,*4E
(Apr 09 2018 10:03:20,  849849 sec) LogNmeaSentences()   $GPGSA,A,3,01,03,06,07,11,13,17,19,,28,30,,1.1,0.8,0.8*34
(Apr 09 2018 10:03:20,  849849 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,36,056,45,03,06,112,35,06,23,196,40,07,62,128,48*76
(Apr 09 2018 10:03:21,  849850 sec) LogNmeaSentences()   $GPGSV,3,2,12,11,29,041,44,13,18,298,41,17,54,282,48,19,39,254,45*7B
(Apr 09 2018 10:03:21,  849850 sec) LogNmeaSentences()   $GPGSV,3,3,12,22,01,090,34,28,37,358,45,30,81,035,50,09,15,175,00*73
(Apr 09 2018 10:03:29,  849858 sec) LogNmeaSentences()   $GPRMC,100300,A,1350.8185,N,08437.9845,E,000.6,160.5,090418,001.4,W*68
(Apr 09 2018 10:03:30,  849859 sec) LogNmeaSentences()   $GPGGA,100300,1350.8185,N,08437.9845,E,1,10,0.8,-6.8,M,-80.1,M,,*45
(Apr 09 2018 10:03:30,  849859 sec) LogNmeaSentences()   $GPGSA,A,3,01,03,06,07,11,13,17,19,,28,30,,1.1,0.8,0.8*34
(Apr 09 2018 10:03:30,  849859 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,36,056,46,03,06,112,36,06,23,196,41,07,62,128,48*77
(Apr 09 2018 10:03:31,  849860 sec) LogNmeaSentences()   $GPGSV,3,2,12,11,29,041,43,13,18,298,43,17,54,282,48,19,39,254,45*7E
(Apr 09 2018 10:03:31,  849860 sec) LogNmeaSentences()   $GPGSV,3,3,12,22,01,090,31,28,37,358,45,30,81,036,49,09,15,175,00*7D
(Apr 09 2018 10:03:31,  849860 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 3.80,,,,,,,,*7C
(Apr 09 2018 10:03:32,  849861 sec) GpsServices()        GPS services complete.
(Apr 09 2018 10:03:56,  849885 sec) CLogin()             Connecting to primary host.
(Apr 09 2018 10:04:09,  849898 sec) CLogin()             Connection 9 established in 13 seconds.
(Apr 09 2018 10:04:39,  849928 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 10:04:39,  849928 sec) login()              Login prompt not received.
(Apr 09 2018 10:05:09,  849958 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 10:05:09,  849958 sec) login()              Login prompt not received.
(Apr 09 2018 10:05:09,  849958 sec) login()              No carrier detected.
(Apr 09 2018 10:05:09,  849958 sec) CLogin()             Attempt to login to host failed.
(Apr 09 2018 10:05:09,  849958 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Apr 09 2018 10:05:14,  849963 sec) CLogin()             Connecting to primary host.
(Apr 09 2018 10:05:26,  849975 sec) CLogin()             Connection 10 established in 12 seconds.
(Apr 09 2018 10:05:56,  850005 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 10:05:56,  850005 sec) login()              Login prompt not received.
(Apr 09 2018 10:06:26,  850035 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 10:06:26,  850035 sec) login()              Login prompt not received.
(Apr 09 2018 10:06:26,  850035 sec) login()              No carrier detected.
(Apr 09 2018 10:06:26,  850035 sec) CLogin()             Attempt to login to host failed.
(Apr 09 2018 10:06:26,  850035 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Apr 09 2018 10:06:26,  850035 sec) DownLoadMissionCfg() Aborting download: Retry limit [2] exceeded.
(Apr 09 2018 10:06:26,  850035 sec) WriteVitals()        Writing vitals to "9567.126.msg".
(Apr 09 2018 10:06:29,  850038 sec) CLogin()             Connecting to primary host.
(Apr 09 2018 10:06:38,  850047 sec) CLogin()             Connection 11 established in 9 seconds.
(Apr 09 2018 10:07:08,  850077 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 10:07:08,  850077 sec) login()              Login prompt not received.
(Apr 09 2018 10:07:38,  850107 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 10:07:38,  850107 sec) login()              Login prompt not received.
(Apr 09 2018 10:07:38,  850107 sec) login()              No carrier detected.
(Apr 09 2018 10:07:38,  850107 sec) CLogin()             Attempt to login to host failed.
(Apr 09 2018 10:07:38,  850107 sec) CLogin()             Connecting to primary host.
(Apr 09 2018 10:07:47,  850116 sec) CLogin()             Connection 12 established in 9 seconds.
(Apr 09 2018 10:08:17,  850146 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 10:08:17,  850146 sec) login()              Login prompt not received.
(Apr 09 2018 10:08:47,  850176 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 10:08:47,  850176 sec) login()              Login prompt not received.
(Apr 09 2018 10:08:47,  850176 sec) login()              No carrier detected.
(Apr 09 2018 10:08:47,  850176 sec) CLogin()             Attempt to login to host failed.
(Apr 09 2018 10:08:47,  850176 sec) UpLoad()             Files successfully uploaded: 0
(Apr 09 2018 10:08:47,  850176 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(Apr 09 2018 10:08:47,  850176 sec) logout()             No carrier detected.
(Apr 09 2018 10:08:47,  850176 sec) Telemetry()          Telemetry cycle complete: PrfId=126 ConnectionAttempts=12  Connections=12
(Apr 09 2018 10:24:02,  851091 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [126cnt, 6.5"Hg].
(Apr 09 2018 10:24:39,  851128 sec) GpsServices()        GPS almanac is current.
(Apr 09 2018 10:24:39,  851128 sec) GpsServices()        Initiating GPS fix acquisition.
(Apr 09 2018 10:25:14,  851163 sec) gga()                $GPGGA,102420,1350.4781,N,08438.4027,E,1,11,0.7,-10.3,M,-80.1,M,,*70
(Apr 09 2018 10:25:14,  851163 sec) GpsServices()        Profile 126 GPS fix obtained in 35 seconds.
(Apr 09 2018 10:25:14,  851163 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Apr 09 2018 10:25:14,  851163 sec) GpsServices()        Fix:   84.640  13.841 04/09/2018 102420   11
(Apr 09 2018 10:25:44,  851193 sec) gga()                $GPGGA,102450,1350.4706,N,08438.4123,E,1,11,0.8,-8.0,M,-80.1,M,,*48
(Apr 09 2018 10:25:49,  851198 sec) gga()                $GPGGA,102520,1350.4633,N,08438.4212,E,1,11,0.8,-7.5,M,-80.1,M,,*42
(Apr 09 2018 10:25:49,  851198 sec) GpsServices()        APF9 RTC skew (29s) OK.
(Apr 09 2018 10:25:50,  851199 sec) LogNmeaSentences()   0,039,42,13,20,288,41,17,53,300,48,18,07,039,40*7D
(Apr 09 2018 10:25:50,  851199 sec) LogNmeaSentences()   $GPGSV,3,3,12,19,43,269,46,28,39,009,46,30,81,123,51,03,08,102,00*77
(Apr 09 2018 10:25:59,  851208 sec) LogNmeaSentences()   $GPRMC,102530,A,1350.4597,N,08438.4257,E,008.4,097.5,090418,001.4,W*6C
(Apr 09 2018 10:26:00,  851209 sec) LogNmeaSentences()   $GPGGA,102530,1350.4597,N,08438.4257,E,1,09,0.9,-8.7,M,-80.1,M,,*4A
(Apr 09 2018 10:26:00,  851209 sec) LogNmeaSentences()   $GPGSA,A,3,01,06,07,11,13,17,,19,,28,30,,1.3,0.9,0.9*35
(Apr 09 2018 10:26:00,  851209 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,29,047,39,06,33,196,45,07,52,142,49,11,20,039,31*72
(Apr 09 2018 10:26:01,  851210 sec) LogNmeaSentences()   $GPGSV,3,2,12,13,20,287,42,17,53,300,48,18,07,039,27,19,43,269,45*7D
(Apr 09 2018 10:26:01,  851210 sec) LogNmeaSentences()   $GPGSV,3,3,12,22,02,081,23,28,39,009,42,30,81,123,48,03,08,102,00*71
(Apr 09 2018 10:26:09,  851218 sec) LogNmeaSentences()   $GPRMC,102540,A,1350.4566,N,08438.4298,E,001.5,122.3,090418,001.4,W*67
(Apr 09 2018 10:26:10,  851219 sec) LogNmeaSentences()   $GPGGA,102540,1350.4566,N,08438.4298,E,1,11,0.8,-9.4,M,-80.1,M,,*4A
(Apr 09 2018 10:26:10,  851219 sec) LogNmeaSentences()   $GPGSA,A,3,01,06,07,09,11,13,17,18,19,,28,30,1.1,0.8,0.8*37
(Apr 09 2018 10:26:10,  851219 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,29,047,44,06,33,196,43,07,52,142,48,09,08,169,38*71
