(Feb 05 2015 15:59:15,  848873 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,45,102,44,04,29,070,42,06,01,206,30,07,61,037,45*70
(Feb 05 2015 15:59:15,  848874 sec) LogNmeaSentences()   $GPGSV,3,2,12,09,47,195,47,10,07,232,42,11,48,066,45,17,44,238,47*7D
(Feb 05 2015 15:59:15,  848874 sec) LogNmeaSentences()   $GPGSV,3,3,12,19,08,034,21,28,26,319,41,30,43,351,41,20,11,149,00*76
(Feb 05 2015 15:59:16,  848875 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 3.80,,,,,,,,*7C
(Feb 05 2015 15:59:23,  848882 sec) LogNmeaSentences()   $GPRMC,155910,A,0915.6874,N,08552.0225,E,002.5,263.6,050215,001.8,W*6E
(Feb 05 2015 15:59:24,  848883 sec) LogNmeaSentences()   $GPGGA,155910,0915.6874,N,08552.0225,E,1,03,1.0,7.9,M,-82.1,M,,*6E
(Feb 05 2015 15:59:24,  848883 sec) LogNmeaSentences()   $GPGSA,A,3,09,11,23,,,,,,,,,,1.3,1.0,0.9*30
(Feb 05 2015 15:59:24,  848883 sec) LogNmeaSentences()   $GPGSV,3,1,12,09,47,194,31,11,47,066,31,23,23,166,37,01,44,102,00*7A
(Feb 05 2015 15:59:25,  848884 sec) LogNmeaSentences()   $GPGSV,3,2,12,04,29,070,00,06,01,207,00,07,60,036,00,10,07,232,00*70
(Feb 05 2015 15:59:25,  848884 sec) LogNmeaSentences()   $GPGSV,3,3,12,17,44,238,00,19,08,033,00,20,11,149,00,28,26,319,00*7E
(Feb 05 2015 15:59:33,  848892 sec) LogNmeaSentences()   $GPRMC,155920,A,0915.6875,N,08552.0213,E,000.5,158.9,050215,001.8,W*6F
(Feb 05 2015 15:59:34,  848893 sec) LogNmeaSentences()   $GPGGA,155920,0915.6875,N,08552.0213,E,1,10,0.9,10.3,M,-82.1,M,,*5F
(Feb 05 2015 15:59:34,  848893 sec) LogNmeaSentences()   $GPGSA,A,3,01,04,07,09,10,11,17,19,,28,30,,1.2,0.9,0.8*3D
(Feb 05 2015 15:59:35,  848894 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,45,102,44,04,29,070,43,07,61,037,47,09,47,194,46*77
