(Jun 08 2017 10:43:05,  847592 sec) Telemetry()          Telemetry cycle complete: PrfId=95 ConnectionAttempts=4  Connections=4
(Jun 08 2017 10:58:20,  848506 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [127cnt, 6.8"Hg].
(Jun 08 2017 10:58:48,  848534 sec) GpsServices()        GPS almanac is current.
(Jun 08 2017 10:58:48,  848534 sec) GpsServices()        Initiating GPS fix acquisition.
(Jun 08 2017 10:59:25,  848572 sec) gga()                $GPGGA,105900,1322.4807,N,08611.2786,E,1,09,0.8,-2.4,M,-77.0,M,,*44
(Jun 08 2017 10:59:25,  848572 sec) GpsServices()        Profile 95 GPS fix obtained in 37 seconds.
(Jun 08 2017 10:59:25,  848572 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Jun 08 2017 10:59:25,  848572 sec) GpsServices()        Fix:   86.188  13.375 06/08/2017 105900    9
(Jun 08 2017 10:59:55,  848601 sec) gga()                $GPGGA,105930,1322.4752,N,08611.2750,E,1,09,0.8,-3.9,M,-77.0,M,,*4F
(Jun 08 2017 11:00:00,  848607 sec) gga()                $GPGGA,110000,1322.4646,N,08611.2670,E,1,05,1.3,-3.8,M,-77.0,M,,*41
(Jun 08 2017 11:00:00,  848607 sec) GpsServices()        APF9 RTC skew (0s) OK.
(Jun 08 2017 11:00:01,  848607 sec) LogNmeaSentences()   6,20,04,211,18,28,21,139,42,06,37,016,00*7C
(Jun 08 2017 11:00:01,  848607 sec) LogNmeaSentences()   $GPGSV,3,3,10,12,32,330,00,24,24,268,00*76
(Jun 08 2017 11:00:01,  848608 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 3.80,,,,,,,,*7C
(Jun 08 2017 11:00:10,  848617 sec) LogNmeaSentences()   $GPRMC,110010,A,1322.4638,N,08611.2657,E,001.4,110.0,080617,001.4,W*6E
(Jun 08 2017 11:00:11,  848617 sec) LogNmeaSentences()   $GPGGA,110010,1322.4638,N,08611.2657,E,1,09,0.8,-2.4,M,-77.0,M,,*47
(Jun 08 2017 11:00:11,  848618 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,06,12,13,17,19,24,28,,,,1.2,0.8,0.9*32
(Jun 08 2017 11:00:11,  848618 sec) LogNmeaSentences()   $GPGSV,3,1,10,02,53,311,47,05,44,188,45,06,37,017,46,12,32,329,47*74
(Jun 08 2017 11:00:12,  848618 sec) LogNmeaSentences()   $GPGSV,3,2,10,13,05,193,39,17,23,067,48,19,32,046,45,24,24,267,43*7B
(Jun 08 2017 11:00:12,  848619 sec) LogNmeaSentences()   $GPGSV,3,3,10,28,21,139,41,20,04,211,00*7B
