(Oct 14 2017 14:48:44,  847065 sec) login()              Login prompt not received.
(Oct 14 2017 14:49:14,  847095 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 14:49:14,  847095 sec) login()              Login prompt not received.
(Oct 14 2017 14:49:14,  847095 sec) login()              No carrier detected.
(Oct 14 2017 14:49:14,  847095 sec) CLogin()             Attempt to login to host failed.
(Oct 14 2017 14:49:14,  847095 sec) UpLoad()             Files successfully uploaded: 0
(Oct 14 2017 14:49:14,  847095 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(Oct 14 2017 14:49:14,  847096 sec) logout()             No carrier detected.
(Oct 14 2017 14:49:14,  847096 sec) Telemetry()          Telemetry cycle complete: PrfId=108 ConnectionAttempts=4  Connections=4
(Oct 14 2017 15:04:29,  848010 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [127cnt, 6.8"Hg].
(Oct 14 2017 15:04:57,  848038 sec) GpsServices()        GPS almanac is current.
(Oct 14 2017 15:04:57,  848038 sec) GpsServices()        Initiating GPS fix acquisition.
(Oct 14 2017 15:05:30,  848071 sec) gga()                $GPGGA,150440,1211.3771,N,08708.3223,E,1,06,1.4,-6.0,M,-75.8,M,,*4F
(Oct 14 2017 15:05:30,  848071 sec) GpsServices()        Profile 108 GPS fix obtained in 33 seconds.
(Oct 14 2017 15:05:30,  848072 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Oct 14 2017 15:05:30,  848072 sec) GpsServices()        Fix:   87.139  12.190 10/14/2017 150440    6
(Oct 14 2017 15:06:00,  848101 sec) gga()                $GPGGA,150510,1211.3690,N,08708.3349,E,1,12,0.8,0.3,M,-75.8,M,,*68
(Oct 14 2017 15:06:06,  848107 sec) gga()                $GPGGA,150540,1211.3623,N,08708.3464,E,1,12,0.8,-0.7,M,-75.8,M,,*44
(Oct 14 2017 15:06:06,  848107 sec) GpsServices()        APF9 RTC skew (26s) OK.
(Oct 14 2017 15:06:06,  848108 sec) LogNmeaSentences()   11,07,233,40,14,35,067,43,22,54,303,47,23,06,314,42*7A
(Oct 14 2017 15:06:06,  848108 sec) LogNmeaSentences()   $GPGSV,3,3,12,26,71,056,49,27,19,164,39,31,27,025,45,32,27,088,43*70
(Oct 14 2017 15:06:16,  848117 sec) LogNmeaSentences()   $GPRMC,150550,A,1211.3618,N,08708.3499,E,001.3,109.5,141017,001.4,W*67
(Oct 14 2017 15:06:16,  848117 sec) LogNmeaSentences()   $GPGGA,150550,1211.3618,N,08708.3499,E,1,12,0.8,0.4,M,-75.8,M,,*61
(Oct 14 2017 15:06:16,  848118 sec) LogNmeaSentences()   $GPGSA,A,3,01,03,08,10,11,14,22,23,26,27,31,32,1.2,0.8,0.9*3D
(Oct 14 2017 15:06:17,  848118 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,19,252,40,03,34,318,47,08,06,194,33,10,11,150,37*7E
(Oct 14 2017 15:06:17,  848119 sec) LogNmeaSentences()   $GPGSV,3,2,12,11,07,232,35,14,35,067,43,22,54,303,47,23,06,314,42*79
(Oct 14 2017 15:06:17,  848119 sec) LogNmeaSentences()   $GPGSV,3,3,12,26,71,056,49,27,19,164,34,31,27,025,47,32,27,088,44*78
(Oct 14 2017 15:06:26,  848127 sec) LogNmeaSentences()   $GPRMC,150600,A,1211.3582,N,08708.3515,E,002.3,121.3,141017,001.4,W*6B
(Oct 14 2017 15:06:26,  848127 sec) LogNmeaSentences()   $GPGGA,150600,1211.3582,N,08708.3515,E,1,11,0.8,-3.1,M,-75.8,M,,*4A
(Oct 14 2017 15:06:26,  848128 sec) LogNmeaSentences()   $GPGSA,A,3,01,03,,10,14,16,22,23,26,27,31,32,1.2,0.8,0.8*33
(Oct 14 2017 15:06:27,  848128 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,19,252,41,03,34,318,46,08,06,194,21,10,11,150,33*79
(Oct 14 2017 15:06:27,  848129 sec) LogNmeaSentences()   $GPGSV,3,2,12,14,35,067,45,16,70,176,44,22,54,303,46,23,06,314,46*78
(Oct 14 2017 15:06:27,  848129 sec) LogNmeaSentences()   $GPGSV,3,3,12,26,71,056,49,27,19,164,35,31,27,025,49,32,27,088,46*75
(Oct 14 2017 15:06:28,  848129 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 3.80,,,,,,,,*7C
(Oct 14 2017 15:06:36,  848137 sec) LogNmeaSentences()   $GPRMC,150610,A,1211.3549,N,08708.3560,E,002.2,174.9,141017,001.4,W*64
(Oct 14 2017 15:06:36,  848137 sec) LogNmeaSentences()   $GPGGA,150610,1211.3549,N,08708.3560,E,1,12,0.8,-1.3,M,-75.8,M,,*4D
(Oct 14 2017 15:06:36,  848138 sec) LogNmeaSentences()   $GPGSA,A,3,01,03,08,10,14,16,22,23,26,27,31,32,1.2,0.8,0.8*3B
(Oct 14 2017 15:06:37,  848138 sec) GpsServices()        GPS services complete.
(Oct 14 2017 15:07:01,  848163 sec) CLogin()             Connecting to primary host.
(Oct 14 2017 15:07:15,  848177 sec) CLogin()             Connection 5 established in 14 seconds.
(Oct 14 2017 15:07:45,  848206 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 15:07:45,  848206 sec) login()              Login prompt not received.
(Oct 14 2017 15:07:45,  848206 sec) login()              No carrier detected.
(Oct 14 2017 15:07:45,  848206 sec) CLogin()             Attempt to login to host failed.
(Oct 14 2017 15:07:45,  848206 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Oct 14 2017 15:07:50,  848212 sec) CLogin()             Connecting to primary host.
(Oct 14 2017 15:08:09,  848230 sec) CLogin()             Connection 6 established in 19 seconds.
(Oct 14 2017 15:08:39,  848260 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 15:08:39,  848260 sec) login()              Login prompt not received.
(Oct 14 2017 15:09:09,  848290 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 15:09:09,  848290 sec) login()              Login prompt not received.
(Oct 14 2017 15:09:09,  848290 sec) login()              No carrier detected.
(Oct 14 2017 15:09:09,  848290 sec) CLogin()             Attempt to login to host failed.
(Oct 14 2017 15:09:09,  848290 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Oct 14 2017 15:09:09,  848290 sec) DownLoadMissionCfg() Aborting download: Retry limit [2] exceeded.
(Oct 14 2017 15:09:09,  848291 sec) WriteVitals()        Writing vitals to "9567.108.msg".
(Oct 14 2017 15:09:12,  848293 sec) CLogin()             Connecting to primary host.
(Oct 14 2017 15:09:26,  848307 sec) CLogin()             Connection 7 established in 14 seconds.
(Oct 14 2017 15:09:56,  848337 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 15:09:56,  848337 sec) login()              Login prompt not received.
(Oct 14 2017 15:09:56,  848337 sec) login()              No carrier detected.
(Oct 14 2017 15:09:56,  848337 sec) CLogin()             Attempt to login to host failed.
