(Aug 20 2018 22:27:06,  866248 sec) LogNmeaSentences()   $GPGGA,222650,1532.3574,N,06630.9961,E,1,09,0.9,-7.7,M,-68.4,M,,*4D
(Aug 20 2018 22:27:06,  866249 sec) LogNmeaSentences()   $GPGSA,A,3,01,,07,08,09,11,17,18,,28,30,,1.2,0.9,0.9*30
(Aug 20 2018 22:27:07,  866250 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,11,131,38,05,04,301,31,07,43,009,45,08,32,049,43*7B
(Aug 20 2018 22:27:07,  866250 sec) LogNmeaSentences()   $GPGSV,3,2,12,09,72,147,51,11,32,115,45,17,20,197,44,18,10,107,39*7B
(Aug 20 2018 22:27:08,  866251 sec) LogNmeaSentences()   $GPGSV,3,3,12,27,02,037,30,28,50,278,45,30,32,331,42,23,41,143,00*7E
(Aug 20 2018 22:27:15,  866258 sec) LogNmeaSentences()   $GPRMC,222700,A,1532.3575,N,06630.9990,E,000.0,209.8,200818,000.8,W*62
(Aug 20 2018 22:27:16,  866258 sec) LogNmeaSentences()   $GPGGA,222700,1532.3575,N,06630.9990,E,1,09,0.9,-8.1,M,-68.4,M,,*4F
(Aug 20 2018 22:27:16,  866259 sec) LogNmeaSentences()   $GPGSA,A,3,01,,07,08,09,11,17,18,,28,30,,1.2,0.9,0.9*30
(Aug 20 2018 22:27:17,  866260 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,11,131,41,05,04,301,33,07,43,009,45,08,32,049,44*70
(Aug 20 2018 22:27:17,  866260 sec) LogNmeaSentences()   $GPGSV,3,2,12,09,72,147,51,11,32,114,45,17,20,197,44,18,10,107,41*75
(Aug 20 2018 22:27:18,  866261 sec) LogNmeaSentences()   $GPGSV,3,3,12,27,02,037,26,28,50,278,44,30,32,331,46,23,41,143,00*7C
(Aug 20 2018 22:27:19,  866261 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 4.00,,,,,,,,*73
(Aug 20 2018 22:27:25,  866268 sec) LogNmeaSentences()   $GPRMC,222710,A,1532.3576,N,06631.0004,E,001.3,136.4,200818,000.8,W*6D
(Aug 20 2018 22:27:26,  866268 sec) LogNmeaSentences()   $GPGGA,222710,1532.3576,N,06631.0004,E,1,09,0.9,-2.7,M,-68.4,M,,*4D
