(Dec 01 2022 02:45:53,  847518 sec) LogNmeaSentences()   ,25,26,22,185,39,27,62,269,47,31,46,145,46*70
(Dec 01 2022 02:45:53,  847518 sec) LogNmeaSentences()   $GPGSV,3,3,11,32,43,015,47,14,74,337,00,20,08,058,00*4E
(Dec 01 2022 02:46:03,  847527 sec) LogNmeaSentences()   $GPRMC,024540,A,0137.5063,N,05025.0066,E,001.7,211.0,011222,001.6,W*65
(Dec 01 2022 02:46:03,  847528 sec) LogNmeaSentences()   $GPGGA,024540,0137.5063,N,05025.0066,E,1,08,1.1,2.1,M,-52.5,M,,*66
(Dec 01 2022 02:46:03,  847528 sec) LogNmeaSentences()   $GPGSA,A,3,08,10,21,22,,26,27,31,32,,,,1.3,1.1,0.8*30
(Dec 01 2022 02:46:04,  847528 sec) LogNmeaSentences()   $GPGSV,3,1,11,08,33,304,43,10,16,029,41,21,06,329,38,22,71,344,45*79
(Dec 01 2022 02:46:04,  847529 sec) LogNmeaSentences()   $GPGSV,3,2,11,23,02,056,33,26,22,185,40,27,62,269,47,31,46,144,45*7B
(Dec 01 2022 02:46:05,  847529 sec) LogNmeaSentences()   $GPGSV,3,3,11,32,43,015,47,14,74,337,00,20,08,058,00*4E
(Dec 01 2022 02:46:13,  847537 sec) LogNmeaSentences()   $GPRMC,024550,A,0137.5059,N,05025.0050,E,000.0,244.7,011222,001.6,W*69
(Dec 01 2022 02:46:13,  847538 sec) LogNmeaSentences()   $GPGGA,024550,0137.5059,N,05025.0050,E,1,08,1.1,1.8,M,-52.5,M,,*61
(Dec 01 2022 02:46:13,  847538 sec) LogNmeaSentences()   $GPGSA,A,3,08,10,21,22,,26,27,31,32,,,,1.3,1.1,0.8*30
(Dec 01 2022 02:46:14,  847538 sec) LogNmeaSentences()   $GPGSV,3,1,11,08,33,304,42,10,16,029,40,21,06,329,35,22,71,344,44*75
(Dec 01 2022 02:46:14,  847539 sec) LogNmeaSentences()   $GPGSV,3,2,11,23,02,056,28,26,22,185,42,27,62,269,48,31,46,144,48*71
(Dec 01 2022 02:46:14,  847539 sec) LogNmeaSentences()   $GPGSV,3,3,11,32,43,015,46,14,74,337,00,20,08,058,00*4F
(Dec 01 2022 02:46:23,  847547 sec) LogNmeaSentences()   $GPRMC,024600,A,0137.5060,N,05025.0032,E,001.0,210.5,011222,001.6,W*63
(Dec 01 2022 02:46:23,  847548 sec) LogNmeaSentences()   $GPGGA,024600,0137.5060,N,05025.0032,E,1,08,1.1,2.3,M,-52.5,M,,*61
(Dec 01 2022 02:46:23,  847548 sec) LogNmeaSentences()   $GPGSA,A,3,08,10,21,22,,26,27,31,32,,,,1.3,1.1,0.8*30
(Dec 01 2022 02:46:24,  847548 sec) LogNmeaSentences()   $GPGSV,3,1,11,08,33,304,44,10,16,029,42,21,06,330,38,22,70,345,47*77
(Dec 01 2022 02:46:24,  847549 sec) LogNmeaSentences()   $GPGSV,3,2,11,23,02,057,27,26,22,185,41,27,62,269,49,31,46,144,44*71
(Dec 01 2022 02:46:24,  847549 sec) LogNmeaSentences()   $GPGSV,3,3,11,32,43,015,46,14,74,337,00,20,08,058,00*4F
(Dec 01 2022 02:46:25,  847549 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 3.90,,,,,,,,*7D
(Dec 01 2022 02:46:25,  847550 sec) GpsServices()        GPS services complete.
(Dec 01 2022 02:46:57,  847582 sec) CLogin()             Connecting to primary host.
(Dec 01 2022 02:47:08,  847593 sec) CLogin()             Connection 9 established in 11 seconds.
(Dec 01 2022 02:47:40,  847624 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Dec 01 2022 02:47:40,  847624 sec) login()              Login failed.
(Dec 01 2022 02:48:10,  847654 sec) expect()             Attempt to read prompt string [login:] failed.
(Dec 01 2022 02:48:10,  847654 sec) login()              Login prompt not received.
(Dec 01 2022 02:48:40,  847684 sec) expect()             Attempt to read prompt string [login:] failed.
(Dec 01 2022 02:48:40,  847684 sec) login()              Login prompt not received.
(Dec 01 2022 02:48:40,  847684 sec) CLogin()             Attempt to login to host failed.
(Dec 01 2022 02:48:40,  847684 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Dec 01 2022 02:48:45,  847690 sec) CLogin()             Connecting to primary host.
(Dec 01 2022 02:49:47,  847751 sec) chat()               Expected string [CONNECT] not received.
(Dec 01 2022 02:49:47,  847751 sec) modem_connect()      Modem command [AT+CBST=71,0,1;DT0088160000573] failed.
(Dec 01 2022 02:50:03,  847768 sec) CLogin()             Connection 10 established in 78 seconds.
(Dec 01 2022 02:50:35,  847799 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Dec 01 2022 02:50:35,  847799 sec) login()              Login failed.
(Dec 01 2022 02:51:05,  847829 sec) expect()             Attempt to read prompt string [login:] failed.
(Dec 01 2022 02:51:05,  847829 sec) login()              Login prompt not received.
(Dec 01 2022 02:51:35,  847859 sec) expect()             Attempt to read prompt string [login:] failed.
(Dec 01 2022 02:51:35,  847859 sec) login()              Login prompt not received.
(Dec 01 2022 02:51:35,  847859 sec) CLogin()             Attempt to login to host failed.
(Dec 01 2022 02:51:35,  847859 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Dec 01 2022 02:51:35,  847860 sec) DownLoadMissionCfg() Aborting download: Retry limit [2] exceeded.
(Dec 01 2022 02:51:35,  847860 sec) WriteVitals()        Writing vitals to "7521.264.msg".
(Dec 01 2022 02:51:38,  847862 sec) CLogin()             Connecting to primary host.
(Dec 01 2022 02:51:53,  847878 sec) CLogin()             Connection 11 established in 15 seconds.
(Dec 01 2022 02:52:25,  847909 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Dec 01 2022 02:52:25,  847909 sec) login()              Login failed.
(Dec 01 2022 02:53:24,  847968 sec) expect()             Attempt to read prompt string [Password:] failed.
(Dec 01 2022 02:53:24,  847968 sec) login()              Password prompt not received.
(Dec 01 2022 02:53:24,  847968 sec) login()              No carrier detected.
(Dec 01 2022 02:53:24,  847968 sec) CLogin()             Attempt to login to host failed.
(Dec 01 2022 02:53:24,  847969 sec) CLogin()             Connecting to primary host.
(Dec 01 2022 02:53:46,  847991 sec) CLogin()             Connection 12 established in 22 seconds.
(Dec 01 2022 02:54:18,  848022 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Dec 01 2022 02:54:18,  848022 sec) login()              Login failed.
(Dec 01 2022 02:55:17,  848081 sec) expect()             Attempt to read prompt string [Password:] failed.
(Dec 01 2022 02:55:17,  848081 sec) login()              Password prompt not received.
(Dec 01 2022 02:55:17,  848081 sec) login()              No carrier detected.
(Dec 01 2022 02:55:17,  848081 sec) CLogin()             Attempt to login to host failed.
